Test Subject,Vader Model Negative,Vader Model Neutral,Vader Model Positive,Vader Model Overall,Roberto Model Negative,Roberto Model Neutral,Roberto Model Positive
1,0.0,0.732,0.268,0.9811,0.08050904,0.505136,0.41435495
2,0.0,0.803,0.197,0.765,0.065489344,0.8166072,0.11790344
3,0.012,0.823,0.165,0.9562,0.07582425,0.48017937,0.44399634
4,0.027,0.687,0.286,0.959,0.014503736,0.21522504,0.77027124
5,0.0,0.743,0.257,0.9761,0.05543606,0.33565775,0.60890615
6,0.0,0.837,0.163,0.9674,0.32239974,0.5306487,0.14695154
