Test Subject,Vader Model Negative,Vader Model Neutral,Vader Model Positive,Vader Model Overall,Roberto Model Negative,Roberto Model Neutral,Roberto Model Positive
1,0.116,0.694,0.19,0.765,0.20223364,0.6234577,0.1743087
2,0.0,0.404,0.596,0.7096,0.022657838,0.2061178,0.7712243
3,0.083,0.711,0.206,0.8607,0.17082573,0.5701472,0.25902712
4,0.079,0.51,0.411,0.8934,0.0039783944,0.13118914,0.8648325
5,0.082,0.766,0.152,0.9811,0.21511391,0.4810694,0.30381674
6,0.107,0.716,0.177,0.9209,0.1496867,0.5687702,0.2815431
