Test Subject,Vader Model Negative,Vader Model Neutral,Vader Model Positive,Vader Model Overall,Roberto Model Negative,Roberto Model Neutral,Roberto Model Positive
1,0.0,0.844,0.156,0.8402,0.426098,0.5145126,0.059389412
2,0.0,0.553,0.447,0.8519,0.003280158,0.041512426,0.95520747
3,0.0,0.876,0.124,0.7096,0.39025804,0.5306309,0.07911108
4,0.0,0.685,0.315,0.9136,0.02088469,0.2803389,0.6987764
5,0.033,0.862,0.105,0.594,0.45102218,0.48583668,0.06314108
6,0.0,0.834,0.166,0.7765,0.49367917,0.46156913,0.044751704
