Test Subject,Vader Model Negative,Vader Model Neutral,Vader Model Positive,Vader Model Overall,Roberto Model Negative,Roberto Model Neutral,Roberto Model Positive
1,0.019,0.764,0.217,0.9958,0.27704644,0.5887321,0.1342214
2,0.116,0.694,0.191,0.3818,0.18274502,0.6682083,0.1490466
3,0.0,0.886,0.114,0.9034,0.20437269,0.62906265,0.16656464
4,0.035,0.656,0.309,0.9702,0.022184066,0.41748303,0.5603329
5,0.024,0.83,0.146,0.9874,0.19297096,0.49454045,0.31248862
6,0.041,0.731,0.228,0.9815,0.37050864,0.4777948,0.15169653
