Test Subject,Vader Model Negative,Vader Model Neutral,Vader Model Positive,Vader Model Overall,Roberto Model Negative,Roberto Model Neutral,Roberto Model Positive
1,0.0,0.757,0.243,0.984,0.009882079,0.22058374,0.76953423
2,0.0,0.0,0.0,0.0,0.2582943,0.4512724,0.29043332
3,0.0,0.863,0.137,0.7003,0.05024816,0.67704517,0.2727067
4,0.028,0.675,0.297,0.9522,0.013131131,0.3848688,0.6020001
5,0.01,0.696,0.294,0.9866,0.030189907,0.22480136,0.7450087
6,0.023,0.696,0.281,0.9889,0.06104392,0.22998987,0.7089662
