Test Subject,Vader Model Negative,Vader Model Neutral,Vader Model Positive,Vader Model Overall,Roberto Model Negative,Roberto Model Neutral,Roberto Model Positive
1,0.0,0.719,0.281,0.9808,0.007381058,0.12257384,0.8700451
2,0.0,0.3,0.7,0.7184,0.0028008604,0.03228016,0.964919
3,0.0,0.854,0.146,0.7941,0.04869225,0.5556941,0.3956136
4,0.134,0.56,0.307,0.8006,0.09316434,0.60929906,0.29753658
5,0.026,0.951,0.024,-0.0258,0.23704754,0.5611531,0.20179935
6,0.0,0.641,0.359,0.8636,0.11353567,0.47438034,0.41208404
