Test Subject,Vader Model Negative,Vader Model Neutral,Vader Model Positive,Vader Model Overall,Roberto Model Negative,Roberto Model Neutral,Roberto Model Positive
1,0.0,0.848,0.152,0.8402,0.14677271,0.7807663,0.072461
2,0.0,0.553,0.447,0.8519,0.003280158,0.041512426,0.95520747
3,0.0,0.876,0.124,0.7096,0.15718922,0.74579763,0.0970132
4,0.0,0.685,0.315,0.9136,0.0059245676,0.1803572,0.8137182
5,0.033,0.862,0.105,0.594,0.29698098,0.6351605,0.0678585
6,0.0,0.834,0.166,0.7765,0.20494564,0.7288789,0.066175476
